"","PID","upid","regions"
"1","0100153002",1,"East Boston"
"2","0100154002",1,"East Boston"
"3","0100213002",1,"East Boston"
"4","0100213006",1,"East Boston"
"5","0100536002",1,"East Boston"
"6","0100598002",1,"East Boston"
"7","0100918002",1,"East Boston"
"8","0100918004",1,"East Boston"
"9","0100918006",1,"East Boston"
"10","0100918008",1,"East Boston"
"11","0100918010",1,"East Boston"
"12","0100918012",1,"East Boston"
"13","0100918014",1,"East Boston"
"14","0101026002",1,"East Boston"
"15","0101026004",1,"East Boston"
"16","0101026062",1,"East Boston"
"17","0101033002",1,"East Boston"
"18","0101143012",1,"East Boston"
"19","0101143014",1,"East Boston"
"20","0101185002",1,"East Boston"
"21","0101187002",1,"East Boston"
"22","0101194002",1,"East Boston"
"23","0101194004",1,"East Boston"
"24","0101194006",1,"East Boston"
"25","0101194008",1,"East Boston"
"26","0101339002",1,"East Boston"
"27","0101344002",1,"East Boston"
"28","0101381002",1,"East Boston"
"29","0101399104",1,"East Boston"
"30","0101399114",1,"East Boston"
"31","0101399126",1,"East Boston"
"32","0101399138",1,"East Boston"
"33","0101399150",1,"East Boston"
"34","0101399162",1,"East Boston"
"35","0101533002",1,"East Boston"
"36","0101541002",1,"East Boston"
"37","0101586002",1,"East Boston"
"38","0101590012",1,"East Boston"
"39","0101593010",1,"East Boston"
"40","0101609002",1,"East Boston"
"41","0101640002",1,"East Boston"
"42","0101677002",1,"East Boston"
"43","0101716002",1,"East Boston"
"44","0101716004",1,"East Boston"
"45","0101749002",1,"East Boston"
"46","0101749004",1,"East Boston"
"47","0101749006",1,"East Boston"
"48","0101749008",1,"East Boston"
"49","0101749010",1,"East Boston"
"50","0101749012",1,"East Boston"
"51","0101840002",1,"East Boston"
"52","0101863002",1,"East Boston"
"53","0101863004",1,"East Boston"
"54","0101894002",1,"East Boston"
"55","0101966002",1,"East Boston"
"56","0102040002",1,"East Boston"
"57","0102040004",1,"East Boston"
"58","0102040006",1,"East Boston"
"59","0102040008",1,"East Boston"
"60","0102040010",1,"East Boston"
"61","0102040012",1,"East Boston"
"62","0102040014",1,"East Boston"
"63","0102040016",1,"East Boston"
"64","0102040018",1,"East Boston"
"65","0102040020",1,"East Boston"
"66","0102072002",1,"East Boston"
"67","0102243002",1,"East Boston"
"68","0102307002",1,"East Boston"
"69","0102600012",1,"East Boston"
"70","0102604002",1,"East Boston"
"71","0102604008",1,"East Boston"
"72","0102703002",1,"East Boston"
"73","0102704002",1,"East Boston"
"74","0102705002",1,"East Boston"
"75","0102706002",1,"East Boston"
"76","0102836002",1,"East Boston"
"77","0102865002",1,"East Boston"
"78","0102892002",1,"East Boston"
"79","0102932002",1,"East Boston"
"80","0102950002",1,"East Boston"
"81","0103000002",1,"East Boston"
"82","0103033002",1,"East Boston"
"83","0103052002",1,"East Boston"
"84","0103069002",1,"East Boston"
"85","0103120002",1,"East Boston"
"86","0103121002",1,"East Boston"
"87","0103157002",1,"East Boston"
"88","0103171002",1,"East Boston"
"89","0103191002",1,"East Boston"
"90","0103196002",1,"East Boston"
"91","0103196004",1,"East Boston"
"92","0103196006",1,"East Boston"
"93","0103201002",1,"East Boston"
"94","0103274002",1,"East Boston"
"95","0103274004",1,"East Boston"
"96","0103274006",1,"East Boston"
"97","0103380002",1,"East Boston"
"98","0103403002",1,"East Boston"
"99","0103403004",1,"East Boston"
"100","0103403008",1,"East Boston"
"101","0103495002",1,"East Boston"
"102","0103586002",1,"East Boston"
"103","0103586008",1,"East Boston"
"104","0103586014",1,"East Boston"
"105","0103616002",1,"East Boston"
"106","0103619002",1,"East Boston"
"107","0103629002",1,"East Boston"
